compression,gamma,task,step,accepted,acceptance_rate,tokens_produced,mean_draft_entropy,mean_draft_confidence,max_draft_entropy,min_draft_confidence
fp16,2,code,0,0,0.0,1,2.0172,0.6549,2.956,0.4504
fp16,2,code,1,0,0.0,1,2.291,0.5627,3.8145,0.2022
fp16,2,code,2,0,0.0,1,0.333,0.9629,0.6404,0.9277
fp16,2,code,3,2,1.0,3,0.0141,0.9987,0.0265,0.9976
fp16,2,code,4,2,1.0,3,0.6704,0.9131,1.019,0.8763
fp16,2,code,5,0,0.0,1,2.7736,0.3581,2.9233,0.2466
fp16,2,code,6,2,1.0,3,1.8039,0.7116,2.677,0.5577
fp16,2,code,7,2,1.0,3,0.9859,0.725,1.9311,0.4534
fp16,2,code,8,2,1.0,3,1.329,0.6788,1.8203,0.5515
fp16,2,code,9,2,1.0,3,0.9736,0.7237,1.9158,0.4496
fp16,2,code,10,2,1.0,3,0.3189,0.9539,0.4486,0.926
fp16,2,code,11,1,0.5,2,1.1938,0.7465,1.2154,0.7361
fp16,2,code,12,2,1.0,3,0.224,0.9605,0.4476,0.9211
fp16,2,code,13,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,code,14,2,1.0,3,1.5832,0.7292,2.0407,0.6912
fp16,2,code,15,2,1.0,3,0.568,0.7962,1.1347,0.5926
fp16,2,code,16,1,0.5,2,2.0169,0.5725,2.8258,0.3902
fp16,2,code,17,2,1.0,3,0.7356,0.842,1.3238,0.7005
fp16,2,code,18,2,1.0,3,0.0826,0.9923,0.1147,0.9889
fp16,2,code,19,2,1.0,3,0.0926,0.987,0.1837,0.9741
fp16,2,code,20,2,1.0,3,0.2409,0.9729,0.2944,0.9639
fp16,2,code,21,2,1.0,3,0.0045,0.9997,0.0067,0.9995
fp16,2,code,22,2,1.0,3,0.1347,0.9791,0.2693,0.9581
fp16,2,code,23,2,1.0,3,0.2136,0.9631,0.4063,0.9276
fp16,2,code,24,2,1.0,3,0.0001,1.0,0.0002,1.0
fp16,2,code,25,1,0.5,2,1.6671,0.6482,3.3341,0.2963
fp16,2,code,26,2,1.0,3,0.7918,0.7551,1.313,0.5422
fp16,2,code,27,2,1.0,3,0.5461,0.9301,0.7744,0.8932
fp16,2,code,28,1,0.5,2,1.7152,0.6122,3.3217,0.2341
fp16,2,code,29,0,0.0,1,1.9918,0.4904,2.8714,0.3961
fp16,2,code,30,2,1.0,3,0.123,0.9834,0.2164,0.9694
fp16,2,code,31,1,1.0,2,0.2114,0.9789,0.2114,0.9789
fp16,2,code,0,0,0.0,1,3.9012,0.3049,4.4177,0.239
fp16,2,code,1,0,0.0,1,3.1166,0.5054,3.9576,0.4318
fp16,2,code,2,2,1.0,3,1.8057,0.4297,1.9254,0.3578
fp16,2,code,3,2,1.0,3,3.1144,0.4404,3.7705,0.3955
fp16,2,code,4,2,1.0,3,0.3251,0.9332,0.6449,0.8667
fp16,2,code,5,2,1.0,3,0.2236,0.9741,0.3102,0.9611
fp16,2,code,6,2,1.0,3,0.2966,0.9432,0.5904,0.8865
fp16,2,code,7,2,1.0,3,0.0008,1.0,0.0011,0.9999
fp16,2,code,8,2,1.0,3,0.9955,0.7459,1.1484,0.7417
fp16,2,code,9,2,1.0,3,0.1055,0.9872,0.2089,0.9745
fp16,2,code,10,2,1.0,3,0.0025,0.9999,0.0035,0.9998
fp16,2,code,11,2,1.0,3,0.0016,0.9999,0.002,0.9999
fp16,2,code,12,2,1.0,3,0.0221,0.9982,0.0242,0.998
fp16,2,code,13,2,1.0,3,0.0436,0.9965,0.0519,0.9961
fp16,2,code,14,2,1.0,3,0.0213,0.9979,0.0413,0.9958
fp16,2,code,15,2,1.0,3,0.0003,1.0,0.0004,1.0
fp16,2,code,16,2,1.0,3,0.0147,0.9986,0.0287,0.9972
fp16,2,code,17,2,1.0,3,0.0387,0.9972,0.0751,0.9945
fp16,2,code,18,2,1.0,3,0.1302,0.9794,0.2539,0.9593
fp16,2,code,19,2,1.0,3,0.5039,0.9358,0.6107,0.9227
fp16,2,code,20,2,1.0,3,0.1048,0.989,0.1657,0.9825
fp16,2,code,21,2,1.0,3,0.8973,0.7941,1.2284,0.7196
fp16,2,code,22,2,1.0,3,0.041,0.9952,0.0761,0.9908
