policy,compression,task,mean_expected_tokens
Fixed-4,fp16,code,3.787
Fixed-4,fp16,math,4.259
Fixed-4,fp16,chat,3.035
Fixed-4,fp16,summarization,3.371
Fixed-4,int8,code,4.037
Fixed-4,int8,math,4.164
Fixed-4,int8,chat,3.003
Fixed-4,int8,summarization,3.439
Fixed-4,nf4,code,3.8
Fixed-4,nf4,math,4.182
Fixed-4,nf4,chat,3.089
Fixed-4,nf4,summarization,3.756
Fixed-best,fp16,code,6.468
Fixed-best,fp16,math,7.127
Fixed-best,fp16,chat,4.504
Fixed-best,fp16,summarization,5.434
Fixed-best,int8,code,6.925
Fixed-best,int8,math,6.877
Fixed-best,int8,chat,4.55
Fixed-best,int8,summarization,5.721
Fixed-best,nf4,code,6.396
Fixed-best,nf4,math,6.999
Fixed-best,nf4,chat,4.654
Fixed-best,nf4,summarization,6.019
Task-oracle,fp16,code,2.408
Task-oracle,fp16,math,4.259
Task-oracle,fp16,chat,2.035
Task-oracle,fp16,summarization,2.168
Task-oracle,int8,code,6.925
Task-oracle,int8,math,6.877
Task-oracle,int8,chat,3.811
Task-oracle,int8,summarization,4.538
Task-oracle,nf4,code,3.8
Task-oracle,nf4,math,5.714
Task-oracle,nf4,chat,3.089
Task-oracle,nf4,summarization,3.756
SpecKV,fp16,code,6.494
SpecKV,fp16,math,7.201
SpecKV,fp16,chat,4.604
SpecKV,fp16,summarization,5.483
SpecKV,int8,code,6.945
SpecKV,int8,math,6.899
SpecKV,int8,chat,4.623
SpecKV,int8,summarization,5.742
SpecKV,nf4,code,6.424
SpecKV,nf4,math,7.069
SpecKV,nf4,chat,4.749
SpecKV,nf4,summarization,6.079
